Monthly Profile Dashboard

Step,EOL19,EOL17,EOL13,EOL1,EOL21,EOL14,EOL15,EOL16,EOL18,EOL20,EOL6,EOL4,EOL2,EOL9,EOL8,EOL10,EOL12,EOL11,EOL7,EOL3,EOL5,UFV10,UFV4,UFV1,UFV9,UFV2_SE,GD_CEB,GD_EDP_ES,GD_EQ_GO,GD_CEMIG,GD_EMG,GD_EMS,GD_EMT,GD_ENEL_RJ,GD_LIGHT,GD_EDP_SP,GD_CPFL_SC,GD_CPFL_PA,GD_CPFL_PI,GD_ELEKTRO,GD_ENEL_SP,GD_ESS,UFV9_SU,GD_COPEL,GD_RGE,GD_CEEE,GD_CELESC,UFV3,UFV8,UFV11,UFV6,UFV12,UFV7,UFV5,UFV2_NE,GD_EQ_AL,GD_COELBA,GD_ENEL_CE,GD_EPB,GD_CELPE,GD_EQ_PI,GD_COSERN,GD_ESE,GD_SULGIPE,UFV2_NO,GD_EQ_MA,GD_EQ_PA,GD_ETO,UFV9_AR,GD_EAC,GD_ERO,UFV2,GD_AME,GD_CEA,GD_RORAIMA
1,0.250000,0.050000,0.380000,0.370000,0.080000,0.350000,0.440000,0.510000,0.180000,0.390000,0.400000,0.320000,0.340000,0.480000,0.350000,0.490000,0.470000,0.460000,0.390000,0.320000,0.180000,0.220000,0.230000,0.210000,0.200000,0.200000,0.190000,0.200000,0.180000,0.190000,0.190000,0.180000,0.180000,0.190000,0.190000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.260000,0.200000,0.210000,0.210000,0.210000,0.260000,0.240000,0.230000,0.230000,0.230000,0.230000,0.250000,0.180000,0.220000,0.210000,0.190000,0.210000,0.210000,0.170000,0.210000,0.220000,0.220000,0.180000,0.160000,0.160000,0.170000,0.170000,0.160000,0.170000,0.210000,0.150000,0.160000,0.180000,
2,0.220000,0.050000,0.340000,0.340000,0.080000,0.350000,0.420000,0.480000,0.170000,0.370000,0.420000,0.340000,0.300000,0.430000,0.340000,0.450000,0.430000,0.440000,0.370000,0.290000,0.190000,0.230000,0.250000,0.210000,0.200000,0.200000,0.190000,0.210000,0.190000,0.200000,0.200000,0.180000,0.180000,0.190000,0.190000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.250000,0.200000,0.200000,0.200000,0.200000,0.260000,0.250000,0.230000,0.240000,0.230000,0.230000,0.250000,0.180000,0.220000,0.220000,0.190000,0.210000,0.220000,0.170000,0.210000,0.220000,0.220000,0.170000,0.160000,0.160000,0.170000,0.170000,0.160000,0.170000,0.220000,0.150000,0.170000,0.190000,
3,0.170000,0.050000,0.340000,0.270000,0.080000,0.370000,0.410000,0.480000,0.180000,0.350000,0.410000,0.320000,0.230000,0.330000,0.290000,0.370000,0.340000,0.370000,0.340000,0.240000,0.180000,0.230000,0.240000,0.210000,0.210000,0.200000,0.190000,0.200000,0.180000,0.190000,0.190000,0.180000,0.180000,0.180000,0.180000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.240000,0.210000,0.200000,0.200000,0.200000,0.250000,0.250000,0.230000,0.240000,0.230000,0.210000,0.250000,0.190000,0.220000,0.220000,0.180000,0.210000,0.210000,0.170000,0.200000,0.220000,0.220000,0.170000,0.150000,0.150000,0.170000,0.170000,0.160000,0.170000,0.210000,0.150000,0.170000,0.180000,
4,0.160000,0.060000,0.360000,0.250000,0.100000,0.400000,0.430000,0.490000,0.220000,0.410000,0.470000,0.390000,0.220000,0.340000,0.280000,0.370000,0.350000,0.380000,0.340000,0.220000,0.210000,0.230000,0.240000,0.230000,0.230000,0.190000,0.200000,0.190000,0.200000,0.200000,0.200000,0.190000,0.180000,0.190000,0.190000,0.200000,0.200000,0.200000,0.200000,0.200000,0.190000,0.200000,0.210000,0.190000,0.180000,0.180000,0.190000,0.240000,0.240000,0.240000,0.230000,0.230000,0.200000,0.230000,0.200000,0.210000,0.210000,0.170000,0.200000,0.210000,0.170000,0.190000,0.210000,0.210000,0.180000,0.150000,0.140000,0.180000,0.170000,0.160000,0.170000,0.190000,0.150000,0.150000,0.160000,
5,0.170000,0.070000,0.340000,0.330000,0.120000,0.420000,0.410000,0.470000,0.250000,0.400000,0.530000,0.470000,0.300000,0.470000,0.370000,0.470000,0.470000,0.480000,0.400000,0.260000,0.250000,0.230000,0.230000,0.240000,0.230000,0.210000,0.200000,0.180000,0.200000,0.200000,0.200000,0.180000,0.190000,0.170000,0.170000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.170000,0.150000,0.150000,0.160000,0.230000,0.240000,0.240000,0.230000,0.230000,0.220000,0.240000,0.220000,0.200000,0.200000,0.190000,0.200000,0.200000,0.190000,0.190000,0.190000,0.190000,0.200000,0.160000,0.140000,0.190000,0.180000,0.170000,0.170000,0.170000,0.150000,0.150000,0.150000,
6,0.180000,0.090000,0.340000,0.450000,0.150000,0.440000,0.430000,0.490000,0.280000,0.390000,0.600000,0.550000,0.420000,0.610000,0.480000,0.570000,0.580000,0.580000,0.490000,0.330000,0.290000,0.230000,0.230000,0.240000,0.230000,0.230000,0.200000,0.170000,0.200000,0.190000,0.190000,0.170000,0.190000,0.170000,0.170000,0.170000,0.170000,0.170000,0.170000,0.170000,0.170000,0.170000,0.160000,0.160000,0.130000,0.130000,0.150000,0.220000,0.240000,0.240000,0.230000,0.230000,0.230000,0.240000,0.230000,0.190000,0.200000,0.190000,0.200000,0.200000,0.190000,0.190000,0.180000,0.180000,0.220000,0.180000,0.160000,0.190000,0.210000,0.180000,0.180000,0.180000,0.150000,0.170000,0.160000,
7,0.230000,0.100000,0.380000,0.530000,0.170000,0.470000,0.460000,0.520000,0.290000,0.440000,0.640000,0.590000,0.520000,0.710000,0.530000,0.660000,0.680000,0.650000,0.530000,0.390000,0.320000,0.240000,0.250000,0.250000,0.240000,0.250000,0.210000,0.180000,0.210000,0.200000,0.200000,0.180000,0.200000,0.170000,0.170000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.180000,0.170000,0.140000,0.140000,0.160000,0.230000,0.260000,0.260000,0.250000,0.250000,0.240000,0.250000,0.240000,0.190000,0.210000,0.200000,0.210000,0.200000,0.200000,0.200000,0.190000,0.190000,0.240000,0.200000,0.180000,0.200000,0.220000,0.190000,0.190000,0.190000,0.170000,0.190000,0.170000,
8,0.280000,0.100000,0.410000,0.640000,0.170000,0.480000,0.480000,0.530000,0.300000,0.500000,0.650000,0.610000,0.620000,0.790000,0.570000,0.720000,0.760000,0.700000,0.520000,0.460000,0.340000,0.260000,0.270000,0.260000,0.250000,0.270000,0.210000,0.190000,0.210000,0.210000,0.210000,0.190000,0.200000,0.190000,0.190000,0.200000,0.200000,0.200000,0.200000,0.200000,0.190000,0.200000,0.200000,0.190000,0.160000,0.160000,0.180000,0.250000,0.280000,0.280000,0.270000,0.270000,0.270000,0.270000,0.260000,0.210000,0.230000,0.220000,0.220000,0.220000,0.220000,0.220000,0.210000,0.200000,0.250000,0.210000,0.200000,0.210000,0.200000,0.190000,0.180000,0.210000,0.170000,0.210000,0.180000,
9,0.320000,0.100000,0.480000,0.700000,0.170000,0.480000,0.510000,0.560000,0.290000,0.540000,0.650000,0.610000,0.680000,0.810000,0.600000,0.750000,0.780000,0.720000,0.510000,0.540000,0.350000,0.270000,0.280000,0.250000,0.240000,0.290000,0.210000,0.200000,0.210000,0.220000,0.220000,0.190000,0.190000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.220000,0.200000,0.180000,0.180000,0.190000,0.280000,0.280000,0.290000,0.290000,0.290000,0.290000,0.290000,0.260000,0.230000,0.230000,0.230000,0.240000,0.240000,0.230000,0.230000,0.220000,0.220000,0.240000,0.220000,0.210000,0.210000,0.180000,0.190000,0.180000,0.210000,0.160000,0.220000,0.180000,
10,0.310000,0.090000,0.470000,0.670000,0.140000,0.470000,0.490000,0.560000,0.250000,0.530000,0.580000,0.530000,0.670000,0.770000,0.590000,0.730000,0.740000,0.690000,0.490000,0.570000,0.310000,0.240000,0.250000,0.220000,0.220000,0.280000,0.190000,0.200000,0.190000,0.200000,0.200000,0.190000,0.180000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.240000,0.200000,0.200000,0.200000,0.200000,0.290000,0.260000,0.290000,0.290000,0.290000,0.290000,0.290000,0.240000,0.230000,0.220000,0.230000,0.240000,0.240000,0.220000,0.230000,0.230000,0.230000,0.230000,0.210000,0.200000,0.190000,0.190000,0.180000,0.180000,0.200000,0.160000,0.210000,0.170000,
11,0.280000,0.070000,0.460000,0.610000,0.120000,0.440000,0.480000,0.550000,0.230000,0.510000,0.460000,0.410000,0.610000,0.700000,0.530000,0.690000,0.680000,0.630000,0.470000,0.520000,0.230000,0.210000,0.210000,0.210000,0.210000,0.260000,0.180000,0.190000,0.180000,0.180000,0.180000,0.190000,0.180000,0.190000,0.190000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.270000,0.210000,0.210000,0.210000,0.210000,0.280000,0.220000,0.260000,0.270000,0.270000,0.280000,0.290000,0.210000,0.230000,0.200000,0.220000,0.230000,0.230000,0.200000,0.230000,0.220000,0.220000,0.200000,0.190000,0.190000,0.180000,0.180000,0.170000,0.170000,0.180000,0.150000,0.200000,0.160000,
12,0.250000,0.060000,0.400000,0.520000,0.100000,0.380000,0.450000,0.520000,0.190000,0.450000,0.420000,0.350000,0.500000,0.610000,0.460000,0.610000,0.600000,0.560000,0.440000,0.440000,0.190000,0.200000,0.220000,0.200000,0.200000,0.230000,0.180000,0.190000,0.180000,0.180000,0.180000,0.180000,0.180000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.270000,0.210000,0.220000,0.220000,0.210000,0.270000,0.230000,0.240000,0.250000,0.250000,0.250000,0.260000,0.190000,0.220000,0.210000,0.200000,0.220000,0.220000,0.180000,0.210000,0.220000,0.220000,0.190000,0.180000,0.170000,0.180000,0.170000,0.160000,0.170000,0.190000,0.140000,0.180000,0.170000,
