! NUM ...........Latitude ..........Longitude
    1 -21.325348000000002 -44.615884000000001
    2 -21.292110999999998 -44.625332999999998
    4 -21.140000000000001 -45.039999999999999
    6          -20.669203 -46.318254000000003
    7          -20.286261 -47.064385999999999
    8 -20.149999999999999 -47.280000000000001
    9 -20.022732000000001          -47.433892
   10 -19.989073999999999 -47.755992999999997
   11 -20.033266999999999 -48.221843999999997
   12 -20.120000000000001              -48.57
   14          -21.576667          -46.624167
   15 -20.124798999999999 -43.870201999999999
   16 -18.425236000000002 -52.933332999999998
   17 -20.302955000000001 -49.197678000000003
   18 -19.859999999999999 -50.350000000000001
   20 -17.449166999999999          -47.348889
   21 -18.050000000000001 -47.670000000000002
   24 -18.449999999999999 -47.979999999999997
   25 -19.129581999999999 -47.696966000000003
   26          -18.910408 -48.040906999999997
   27 -18.789999999999999 -48.149999999999999
   28              -18.66 -48.439999999999998
   29 -16.322734000000001 -48.187482000000003
   30 -17.987860000000001 -48.532317999999997
   31 -18.423611000000001          -49.118333
   32          -18.504327 -49.490220000000001
   33 -19.018332999999998 -50.498610999999997
   34 -20.379999999999999 -51.369999999999997
   37          -22.519444 -48.534444000000001
   38 -18.425236000000002 -52.933332999999998
   39 -21.759167000000001 -48.990555999999998
   40          -21.296111 -49.783056000000002
   42 -21.120000000000001 -50.200000000000003
   43 -20.668676999999999          -51.299771
   45 -20.775832999999999 -51.626666999999998
   46              -22.48 -52.960000000000001
   47 -18.425236000000002 -52.933332999999998
   48 -23.154236999999998 -49.379970999999998
   49 -23.127956999999999 -49.732959000000001
   50 -22.899999999999999                 -50
   51          -22.938333          -50.250833
   52 -22.941110999999999 -50.517221999999997
   53          -23.187694 -49.384466000000003
   61 -22.649999999999999 -51.359999999999999
   62 -22.543669000000001 -52.000250000000001
   63 -22.600000000000001 -52.869444000000001
  153 -20.059754000000002 -53.180371000000001
  203 -16.788201000000001 -47.934618999999998
  241 -19.140000000000001              -50.75
  249 -23.068256000000002          -49.837978
  260 -18.495833000000001 -51.654443999999998
  262 -18.808181000000001 -51.170985999999999
  290 -18.675833000000001 -51.865555999999998
  311 -18.530556000000001 -51.147778000000002
  312 -20.137499999999999 -43.888055999999999
  315 -20.131872999999999 -43.876935000000003
