cod,sis,name,StationCode,StationName,Traking,Tilt,Azimuth,Height,Turbine,Profile,DownsFlag,DensityCorrectionFlag,DensityCorrection,DCACRatio,SystemLosses,OptmizedAzimuth
949,1,EOLRJ028730,300,EOL19,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1850,1,UFVES043225,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1851,1,UFVES048831,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1852,1,UFVES060651,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1853,1,UFVES062877,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1854,1,UFVES071334,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1855,1,UFVES072167,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1856,1,UFVGO061525,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1857,1,UFVGO062076,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1858,1,UFVGO071734,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1859,1,UFVGO071739,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1860,1,UFVGO071740,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1861,1,UFVGO071741,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1862,1,UFVMG031760,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1863,1,UFVMG032323,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1864,1,UFVMG032339,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1865,1,UFVMG032340,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1866,1,UFVMG032341,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1867,1,UFVMG033185,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1868,1,UFVMG033186,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1869,1,UFVMG033187,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1870,1,UFVMG033188,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1871,1,UFVMG033189,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1872,1,UFVMG033190,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1873,1,UFVMG033192,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1874,1,UFVMG033193,312,UFV10,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1875,1,UFVMG033236,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1876,1,UFVMG033237,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1877,1,UFVMG033238,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1878,1,UFVMG033990,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1879,1,UFVMG033991,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1880,1,UFVMG033999,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1881,1,UFVMG034000,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1882,1,UFVMG034073,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1883,1,UFVMG034074,303,UFV1,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1884,1,UFVMG034392,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1885,1,UFVMG034394,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1886,1,UFVMG035805,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1887,1,UFVMG037390,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1888,1,UFVMG037403,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1889,1,UFVMG037404,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1890,1,UFVMG037405,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1891,1,UFVMG037548,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1892,1,UFVMG037549,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1893,1,UFVMG037550,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1894,1,UFVMG037551,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1895,1,UFVMG037626,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1896,1,UFVMG037627,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1897,1,UFVMG037628,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1898,1,UFVMG037629,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1899,1,UFVMG037630,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1900,1,UFVMG037631,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1901,1,UFVMG037632,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1902,1,UFVMG037633,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
1903,1,UFVMG037634,306,UFV4,0,0,180,100,Vestas_V90_2000,None,0,0,0,1,0.1,0
