uf,num,nome_eol,n_turbines,unit_power_MW,hub_height_m,rotor_diameter_m,total_height_m,total_MW,operacao,heterogeneous_hub
BA,030739,Caititu,12,1.9,80.0,82.5,121.2,22.2,Sim,False
RN,030512,Dreen Boa Vista,7,2.0,95.0,100.0,145.0,14.0,Sim,False
RN,030497,Renascença V,15,2.0,95.0,100.0,145.0,30.0,Sim,False
RN,030864,SM,11,2.7,89.0,122.0,150.0,29.7,Sim,False
CE,030295,Colônia,9,2.1,96.2,95.0,143.7,18.9,Sim,False
PB,029086,Coelhos I,6,0.8,75.6,48.0,99.6,4.8,Sim,False
RS,030756,Cerro Chato VI,12,2.0,97.2,100.0,147.2,24.0,Sim,False
CE,028631,Praia Formosa,50,2.1,80.0,88.0,124.0,105.0,Sim,False
RN,030301,Morro dos Ventos I,18,1.6,80.0,82.0,121.0,28.8,Sim,False
SC,029051,Púlpito,20,1.5,100.0,77.0,138.5,30.0,Sim,False
CE,030332,Faísa III,12,2.1,90.0,95.0,137.5,25.2,Sim,False
RN,030672,Costa Branca,9,2.3,80.0,101.0,130.5,20.7,Sim,False
SC,028793,Água Doce,15,0.6,64.6,44.0,86.6,9.0,Sim,False
CE,028887,Bons Ventos,24,2.1,77.5,88.0,121.5,50.0,Sim,False
RN,030498,Asa Branca IV,20,1.6,80.0,82.5,121.2,32.0,Sim,False
RS,030894,Índios 3,10,2.3,108.0,92.0,154.0,23.0,Sim,False
SC,029052,Aquibatã,20,1.5,100.0,77.0,138.5,30.0,Sim,False
BA,031344,Caetité A,14,1.7,80.0,103.0,131.5,23.8,Sim,False
BA,030328,Guanambi,13,1.6,80.0,82.5,121.2,20.8,Sim,False
RS,031559,Verace 26,8,1.8,80.0,100.0,130.0,14.32,Sim,False
BA,032523,Delfina VI,15,2.0,80.0,110.0,135.0,30.0,Sim,False
RN,030567,União dos Ventos 6,8,1.6,80.0,100.0,130.0,12.8,Sim,False
RS,030469,REB Cassino I,11,2.0,78.0,97.0,126.5,22.0,Sim,False
CE,030911,São Jorge,12,2.0,78.0,97.0,126.5,24.0,Sim,False
RN,030281,Mangue Seco 3,13,2.0,108.4,82.0,149.4,26.0,Sim,False
RN,030898,Terral,10,3.0,120.0,116.0,178.0,30.0,Sim,False
RN,030339,Miassaba 3,41,1.7,80.0,86.0,123.0,68.47,Sim,False
