code,name,lat,lon,confidence,source
1,PAF1-1UHE013,-9.400000,-38.200000,case-existing,case-existing
4,PAF2A1UHE013,-9.400000,-38.200000,case-existing,case-existing
5,PAF2A2UHE013,-9.400000,-38.200000,case-existing,case-existing
6,PAF2A3UHE013,-9.400000,-38.200000,case-existing,case-existing
7,PAF2B1UHE013,-9.400000,-38.200000,case-existing,case-existing
8,PAF2B2UHE013,-9.400000,-38.200000,case-existing,case-existing
9,PAF2B3UHE013,-9.400000,-38.200000,case-existing,case-existing
10,PAF3-1UHE013,-9.400000,-38.200000,case-existing,case-existing
11,PAF3-2UHE013,-9.400000,-38.200000,case-existing,case-existing
14,PAF4-1UHE013,-9.420000,-38.210000,case-existing,case-existing
21,SOBRA1UHE013,-9.430000,-40.830000,case-existing,case-existing
22,SOBRM2SIN013,-9.430000,-40.830000,case-existing,case-existing
28,ASALE1UHE013,-9.360000,-38.210000,case-existing,case-existing
29,ASALE2UHE013,-9.360000,-38.210000,case-existing,case-existing
33,LGONZ1UHE013,-9.140000,-38.310000,case-existing,case-existing
34,LGONZ2UHE013,-9.140000,-38.310000,case-existing,case-existing
35,LGONZA-PE000,-9.140000,-38.310000,interpolated,topology-interp
44,BESPE1UHE013,-6.750000,-43.560000,case-existing,case-existing
46,BESPE3UHE013,-6.750000,-43.560000,case-existing,case-existing
47,BESPM4SIN013,-6.720000,-43.560000,interpolated,topology-interp
48,PCAVA1UHE013,-12.580000,-39.000000,case-existing,case-existing
50,TUC1-5UHE013,-3.830000,-49.640000,case-existing,case-existing
52,TUC1-3UHE013,-3.830000,-49.640000,case-existing,case-existing
54,TUC1-4UHE013,-3.830000,-49.640000,case-existing,case-existing
63,FUNIL1UHE013,-14.230000,-39.460000,case-existing,case-existing
68,RGONCAUHE013,-7.630000,-45.210000,interpolated,topology-interp
69,URUCUIUHE013,-7.630000,-45.210000,interpolated,topology-interp
70,TUC2-4UHE013,-3.830000,-49.640000,case-existing,case-existing
71,TUC2-7UHE013,-3.830000,-49.640000,case-existing,case-existing
72,TUC1-ASIN013,-3.820000,-49.650000,interpolated,topology-interp
73,TUC1-BSIN013,-3.820000,-49.650000,interpolated,topology-interp
74,E.PCEMUTE013,-3.690000,-38.870000,interpolated,topology-interp
77,SQUEBRUHE013,-5.490000,-47.440000,interpolated,topology-interp
80,ESTREIUHE013,-6.590000,-47.470000,case-existing,case-existing
86,CASTELUHE013,-5.638734,-43.043168,interpolated,topology-interp
87,ESTRE-UHE013,-5.638734,-43.043168,interpolated,topology-interp
88,CACHEAUHE013,-6.720000,-43.560000,interpolated,topology-interp
89,XINGO1UHE013,-9.620000,-37.790000,case-existing,case-existing
95,ITAPE1UHE013,-15.970000,-39.590000,case-existing,case-existing
96,SUAPE1UTE013,-8.350000,-35.020000,case-existing,case-existing
97,SUAPE2UTE013,-8.350000,-35.020000,case-existing,case-existing
98,SUAPE3UTE013,-8.350000,-35.020000,case-existing,case-existing
99,SUAPE4UTE013,-8.350000,-35.020000,case-existing,case-existing
100,SUAPE5UTE013,-8.350000,-35.020000,case-existing,case-existing
101,SUAPE6UTE013,-8.350000,-35.020000,case-existing,case-existing
102,MARAC1UTE013,-3.870000,-38.620000,case-existing,case-existing
103,S.BONF-BA138,-10.440000,-40.190000,case-existing,case-existing
104,PERNA3UTE013,-7.860000,-35.010000,case-existing,case-existing
108,MURICYUTE013,-12.660000,-38.270000,interpolated,topology-interp
109,CAMAPAUTE007,-12.660000,-38.270000,interpolated,topology-interp
110,PROSPE-BA230,-12.500000,-38.210000,case-existing,case-existing
111,PRO2E4UTE013,-12.500000,-38.210000,case-existing,case-existing
112,PROSP1UTE013,-12.500000,-38.210000,case-existing,case-existing
115,P.FRAN-MA138,-6.350000,-47.380000,case-existing,case-existing
120,B.NOME-PE138,-8.000000,-38.630000,case-existing,case-existing
121,MLG-RE-CE013,-7.310000,-38.940000,interpolated,topology-interp
122,BNOME2-PE138,-8.015000,-38.640000,interpolated,topology-interp
125,FORTAB-CE013,-3.830000,-38.540000,interpolated,topology-interp
127,PIRIPI-PI138,-4.290000,-41.750000,case-existing,case-existing
128,GLOB1-UTE013,-12.730000,-38.480000,case-existing,case-existing
129,GLOB2-UTE013,-12.730000,-38.480000,case-existing,case-existing
130,TERMPBUTE013,-7.210000,-34.920000,case-existing,case-existing
131,MIRAND-MA138,-3.570000,-44.540000,case-existing,case-existing
137,TERMNEUTE013,-7.160000,-34.860000,case-existing,case-existing
138,EPASA--PB230,-7.210000,-34.920000,case-existing,case-existing
139,CABO--UTE013,-8.270000,-35.020000,case-existing,case-existing
140,BAHIA1UTE013,-12.670000,-38.320000,case-existing,case-existing
141,SUAPE--PE230,-8.360000,-35.030000,case-existing,case-existing
142,MARAC1-CE069,-3.850000,-38.580000,interpolated,topology-interp
145,S.CRUZ-RN138,-6.236667,-36.023333,interpolated,topology-interp
147,SUAPE1-PE000,-8.353333,-35.023333,interpolated,topology-interp
148,SUAPE2-PE000,-8.353333,-35.023333,interpolated,topology-interp
149,SUAPE3-PE000,-8.353333,-35.023333,interpolated,topology-interp
150,CAMAC1-BA069,-12.645000,-38.330000,interpolated,topology-interp
151,AÇU2---RN138,-5.590000,-36.910000,case-existing,case-existing
152,S.MATO-RN138,-5.774995,-36.785004,interpolated,topology-interp
160,TERPEGUTE013,-8.400000,-34.960000,case-existing,case-existing
161,TERPEVUTE013,-8.400000,-34.960000,case-existing,case-existing
162,T.FREI-BA138,-17.570000,-39.730000,case-existing,case-existing
166,C.M.1-CAP500,-8.755000,-48.490000,interpolated,topology-interp
167,LAJEADUHE013,-9.760000,-48.370000,case-existing,case-existing
169,EUNAPO-BA138,-16.340000,-39.550000,case-existing,case-existing
170,CFURTAUTE013,-12.700000,-38.570000,case-existing,case-existing
