code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
1,CAMARGOS,PARANA,46.0,-21.325348,-44.615884,plant,siga-name,UHE.PH.MG.000608-4.1,"Itutinga - MG, Nazareno - MG",CAMARGUHE013
2,ITUTINGA,PARANA,52.0,-21.292111,-44.625333,plant,siga-name,UHE.PH.MG.001197-5.1,"Itutinga - MG, Nazareno - MG",ITUTINUHE013
4,FUNIL GRANDE,PARANA,180.0,-21.140000,-45.040000,bus-proxy,bus:FUN-MGUHE013,,,FUN-MGUHE013
6,FURNAS,PARANA,1216.0,-20.669203,-46.318254,plant,siga-name,UHE.PH.MG.001007-3.1,"São João Batista do Glória - MG, São José da Barra - MG",FURNASUHE013
7,MASC. MORAES,PARANA,476.0,-20.286261,-47.064386,siga-fuzzy,siga-fuzzy,UHE.PH.MG.002038-9.1,"Delfinópolis - MG, Ibiraci - MG",
8,ESTREITO GDE,PARANA,1050.0,-20.150000,-47.280000,bus-proxy,bus:LCBARRUHE013,,,LCBARRUHE013
9,JAGUARA,PARANA,424.0,-20.022732,-47.433892,plant,siga-name,UHE.PH.SP.001225-4.1,"Sacramento - MG, Rifaina - SP",JAGURAUHE013
10,IGARAPAVA,PARANA,210.0,-19.989074,-47.755993,plant,siga-name,UHE.PH.SP.001098-7.1,"Conquista - MG, Igarapava - SP",IGARAPUHE013
11,VOLTA GRANDE,PARANA,380.0,-20.033267,-48.221844,plant,siga-name,UHE.PH.SP.003045-7.1,"Conceição das Alagoas - MG, Miguelópolis - SP",V.GRANUHE013
12,P. COLOMBIA,PARANA,320.0,-20.120000,-48.570000,bus-proxy,bus:P.COLOUHE013,,,P.COLOUHE013
14,CACONDE,PARANA,80.4,-21.576667,-46.624167,plant,siga-name,UHE.PH.SP.000588-6.1,Caconde - SP,CACONDUHE013
15,EUCLID CUNHA,PARANA,108.8,-20.124799,-43.870202,plant,siga-token,PCH.PH.MG.000008-6.1,Nova Lima - MG,ECUNHAUHE013
16,A.S.OLIVEIRA,PARANA,32.0,-18.425236,-52.933333,plant,siga-token,PCH.PH.MS.037568-3.1,Costa Rica - MS,LIMOEIUHE013
17,MARIMBONDO,PARANA,1440.0,-20.302955,-49.197678,plant,siga-name,UHE.PH.MG.001417-6.1,"Fronteira - MG, Icém - SP",MARIMBUHE013
18,A. VERMELHA,PARANA,1396.2,-19.860000,-50.350000,bus-proxy,bus:AVERMLUHE013,,,AVERMLUHE013
20,BATALHA,PARANA,52.5,-17.449167,-47.348889,plant,siga-name,CGH.PH.MG.000235-6.3,Paracatu - MG,BATALHUHE013
21,SERRA FACAO,PARANA,212.58,-18.050000,-47.670000,bus-proxy,bus:SFACAOUHE013,,,SFACAOUHE013
24,EMBORCACAO,PARANA,1192.0,-18.450000,-47.980000,bus-proxy,bus:EMBORCUHE013,,,EMBORCUHE013
25,NOVA PONTE,PARANA,510.0,-19.129582,-47.696966,plant,siga-name,UHE.PH.MG.001574-1.1,Nova Ponte - MG,NPONTEUHE013
26,MIRANDA,PARANA,408.0,-18.910408,-48.040907,plant,siga-name,UHE.PH.MG.001469-9.1,"Indianópolis - MG, Uberlândia - MG",MIRANDUHE013
27,CAPIM BRANC1,PARANA,243.09,-18.790000,-48.150000,bus-proxy,bus:CBRAN1UHE013,,,CBRAN1UHE013
28,CAPIM BRANC2,PARANA,211.47,-18.660000,-48.440000,bus-proxy,bus:CBRAN2UHE013,,,CBRAN2UHE013
29,CORUMBA IV,PARANA,129.2,-16.322734,-48.187482,plant,siga-name,UHE.PH.GO.027795-9.1,Luziânia - GO,CORUM4UHE013
30,CORUMBA I,PARANA,375.0,-17.987860,-48.532318,plant,siga-name,UHE.PH.GO.000866-4.1,"Caldas Novas - GO, Corumbaíba - GO",CORUMBUHE013
31,ITUMBIARA,PARANA,2082.0,-18.423611,-49.118333,plant,siga-name,UHE.PH.MG.001194-0.1,Araporã - MG,ITUMBIUHE013
32,CACH DOURADA,PARANA,658.0,-18.504327,-49.490220,siga-fuzzy,siga-fuzzy,UHE.PH.GO.000528-2.1,"Cachoeira Dourada - GO, Itumbiara - GO",
33,SAO SIMAO,PARANA,1710.0,-19.018333,-50.498611,plant,siga-name,UHE.PH.GO.002704-9.1,"Santa Vitória - MG, São Simão - GO",S.SIMAUHE013
34,_I. SOLTEIRA,PARANA,3444.0,-20.380000,-51.370000,bus-proxy,bus:I.SOLTUHE014,,,I.SOLTUHE014
37,BARRA BONITA,PARANA,140.76,-22.519444,-48.534444,plant,siga-name,UHE.PH.SP.000208-9.1,Barra Bonita - SP,BBONITUHE013
38,A.SOUZA LIMA,PARANA,143.1,-18.425236,-52.933333,plant,siga-token,PCH.PH.MS.037568-3.1,Costa Rica - MS,
39,IBITINGA,PARANA,131.49,-21.759167,-48.990556,plant,siga-name,UHE.PH.SP.001097-9.1,Ibitinga - SP,IBITINUHE013
40,PROMISSAO,PARANA,264.0,-21.296111,-49.783056,plant,siga-token,UHE.PH.SP.002158-0.1,Ubarana - SP,PROMISUHE013
42,N.AVANHANDAV,PARANA,347.4,-21.120000,-50.200000,bus-proxy,bus:AVANHAUHE013,,,AVANHAUHE013
43,_TRES IRMAOS,PARANA,807.5,-20.668677,-51.299771,plant,siga-name,UHE.PH.SP.002873-8.1,Andradina - SP,T.IRMAUHE014
45,JUPIA,PARANA,1551.2,-20.775833,-51.626667,plant,siga-token,UHE.PH.SP.001282-3.1,"Três Lagoas - MS, Castilho - SP",
46,P. PRIMAVERA,PARANA,1540.0,-22.480000,-52.960000,bus-proxy,bus:P.PRIMUHE013,,,P.PRIMUHE013
47,A.A. LAYDNER,PARANA,100.956,-18.425236,-52.933333,plant,siga-token,PCH.PH.MS.037568-3.1,Costa Rica - MS,JURUMIUHE013
48,PIRAJU,PARANA,80.0,-23.154237,-49.379971,plant,siga-name,UHE.PH.SP.002077-0.1,Piraju - SP,PIRAJ-UHE013
49,CHAVANTES,PARANA,414.0,-23.127957,-49.732959,plant,siga-name,UHE.PH.SP.000764-1.1,"Chavantes - SP, Ribeirão Claro - PR",CHAVANUHE013
50,L. N. GARCEZ,PARANA,73.8,-22.900000,-50.000000,bus-proxy,bus:SGRANDUHE013,,,SGRANDUHE013
51,CANOAS II,PARANA,72.0,-22.938333,-50.250833,plant,siga-name,UHE.PH.SP.027092-0.1,"Andirá - PR, Palmital - SP",CANOA2UHE006
52,CANOAS I,PARANA,82.5,-22.941111,-50.517222,plant,siga-name,UHE.PH.SP.000647-5.1,"Cândido Mota - SP, Itambaracá - PR",CANOA1UHE006
53,PARANAPANEMA,PARANA,31.501,-23.187694,-49.384466,plant,siga-name,UHE.PH.SP.001972-0.1,Piraju - SP,PIRAJ--SP069
61,CAPIVARA,PARANA,643.0,-22.650000,-51.360000,bus-proxy,bus:CAPIVAUHE014,,,CAPIVAUHE014
62,TAQUARUCU,PARANA,525.0,-22.543669,-52.000250,plant,siga-token,UHE.PH.SP.002821-5.1,"Sandovalina - SP, Santa Inês - PR",TAQUARUHE013
63,ROSANA,PARANA,354.0,-22.600000,-52.869444,plant,siga-name,UHE.PH.SP.002555-0.1,"Diamante do Norte - PR, Rosana - SP",ROSANAUHE013
153,SAO DOMINGOS,PARANA,48.0,-20.059754,-53.180371,plant,siga-name,UHE.PH.MS.028761-0.1,"Água Clara - MS, Ribas do Rio Pardo - MS",SDOMINUHE013
203,CORUMBA III,PARANA,96.447,-16.788201,-47.934619,plant,siga-name,UHE.PH.GO.028352-5.1,Luziânia - GO,CORUM3UHE013
241,SLT VERDINHO,PARANA,93.0,-19.140000,-50.750000,bus-proxy,bus:SRVERDUHE013,,,SRVERDUHE013
249,OURINHOS,PARANA,44.001,-23.068256,-49.837978,plant,siga-name,UHE.PH.SP.027872-6.1,"Ourinhos - SP, Jacarezinho - PR",OURIN-UHE013
260,ESTRELA,PARANA,48.3,-18.495833,-51.654444,plant,siga-name,UHE.PH.GO.038340-6.1,"Itarumã - GO, Serranópolis - GO",ESTRELUHE013
262,SALTO,PARANA,116.0,-18.808181,-51.170986,plant,siga-name,UHE.PH.GO.028758-0.1,"Caçu - GO, Itarumã - GO",SALTO-UHE013
290,ESPORA,PARANA,32.001,-18.675833,-51.865556,plant,siga-name,UHE.PH.GO.000908-3.1,"Aporé - GO, Serranópolis - GO",ESPORAPCH013
311,CACU,PARANA,65.0,-18.530556,-51.147778,plant,siga-name,UHE.PH.GO.028756-3.1,Caçu - GO,CACU--UHE013
312,B. COQUEIROS,PARANA,90.0,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,B.COQUUHE013
315,FOZ R CLARO,PARANA,68.4,-20.131873,-43.876935,plant,siga-token,PCH.PH.MG.000009-4.1,Nova Lima - MG,FRCLARUHE013
117,GUARAPIRANGA,SUDESTE,0.0,-20.137545,-43.891926,plant,siga-token,PCH.PH.MG.000010-8.1,Nova Lima - MG,
118,BILLINGS,SUDESTE,0.0,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,
119,HENRY BORDEN,SUDESTE,889.0,-23.861915,-46.462088,plant,siga-name,UHE.PH.SP.001084-7.1,Cubatão - SP,
120,JAGUARI,SUDESTE,27.6,-23.192982,-46.021315,plant,siga-name,UHE.PH.SP.027131-4.1,"Jacareí - SP, São José dos Campos - SP",JAGURBUHE013
121,PARAIBUNA/PA,SUDESTE,87.02,-23.410000,-45.600556,plant,siga-token,UHE.PH.SP.027122-5.1,Paraibuna - SP,PARAIBUHE013
