code,name,tech,system,capacity_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
6,PCHES000428,SmallHydro,SUDESTE,0.9,-19.045833,-40.538056,plant,reference,,,JNEIV2-ES345
7,PCHES000491,SmallHydro,SUDESTE,0.24,-19.473333,-40.611111,plant,reference,,,JNEIV2-ES345
8,PCHES027182,SmallHydro,SUDESTE,0.24,-19.620370,-40.616314,plant,reference,,,JNEIV2-ES345
9,PCHES038158,SmallHydro,SUDESTE,1.512,-20.773590,-40.987517,plant,reference,,,SLUZI-PCH013
10,PCHGO001298,SmallHydro,SUDESTE,3.992,-17.280000,-47.524167,plant,reference,,,SILVAN-GO500
11,PCHGO029647,SmallHydro,SUDESTE,1.84,-17.908889,-51.898889,plant,reference,,,SILVAN-GO500
12,PCHGO031086,SmallHydro,SUDESTE,0.958,-16.521967,-48.634158,plant,siga:Operação,CGH.PH.GO.031086-7.1,Gameleira de Goiás - GO,SILVAN-GO500
13,PCHGO038152,SmallHydro,SUDESTE,3.0,-17.349357,-52.812288,plant,reference,,,DIAMANPCH034
14,PCHMG000298,SmallHydro,SUDESTE,0.72,-21.781931,-46.631553,plant,reference,,,POCOS--MG500
15,PCHMG000318,SmallHydro,SUDESTE,2.9,-20.454008,-43.006093,plant,reference,,,PNVTOTPCH013
16,PCHMG000345,SmallHydro,SUDESTE,4.55,-20.495007,-43.482765,plant,reference,,,ALCAN-PCH013
17,PCHMG000404,SmallHydro,SUDESTE,0.302,-20.276802,-41.963568,plant,reference,,,MANHUAPCH006
18,PCHMG000526,SmallHydro,SUDESTE,3.83,-20.477272,-43.446622,plant,reference,,,ALCAN-PCH013
19,PCHMG000667,SmallHydro,SUDESTE,4.2,-21.055556,-44.209444,plant,reference,,,SJDRE1-MG138
20,PCHMG001192,SmallHydro,SUDESTE,4.0,-21.299353,-43.208576,plant,reference,,,ITUEREPCH013
21,PCHMG001220,SmallHydro,SUDESTE,0.72,-22.258704,-46.675961,plant,reference,,,ANDRA2-MG138
22,PCHMG001252,SmallHydro,SUDESTE,1.568,-19.639462,-45.109037,plant,reference,,,BDESP2-MG138
23,PCHMG001344,SmallHydro,SUDESTE,1.61,-22.369444,-45.349444,plant,reference,,,MFE2---MG138
24,PCHMG001438,SmallHydro,SUDESTE,0.416,-20.286534,-42.335311,plant,reference,,,MATIPOPCH006
25,PCHMG001462,SmallHydro,SUDESTE,0.736,-21.193678,-42.567539,plant,reference,,,CATAGUPCH006
26,PCHMG001928,SmallHydro,SUDESTE,5.0,-19.263892,-43.606142,plant,reference,,,PMASCAPCH013
27,PCHMG002055,SmallHydro,SUDESTE,0.8,-18.687064,-48.096702,plant,reference,,,ARAGU2-MG138
28,PCHMG002065,SmallHydro,SUDESTE,0.672,-21.128742,-47.040931,plant,reference,,,POCOS--MG500
29,PCHMG002225,SmallHydro,SUDESTE,0.68,-18.490611,-46.927667,plant,reference,,,PTMIN1-MG138
30,PCHMG002535,SmallHydro,SUDESTE,0.768,-20.218504,-41.994669,plant,reference,,,MANHUAPCH006
31,PCHMG002656,SmallHydro,SUDESTE,2.394,-18.950183,-49.382684,plant,reference,,,SMORAIPCH013
32,PCHMG002686,SmallHydro,SUDESTE,0.955,-20.260000,-47.180000,bus-proxy,bus:ESTREI-MG500,,,ESTREI-MG500
33,PCHMG002782,SmallHydro,SUDESTE,2.12,-19.801206,-42.302086,plant,reference,,,CARATI-MG138
34,PCHMG003059,SmallHydro,SUDESTE,1.808,-21.924131,-45.471011,plant,siga:Operação,CGH.PH.MG.003059-7.2,Campanha - MG,SGSAPU-MG138
35,PCHMG026725,SmallHydro,SUDESTE,1.0,-16.627893,-43.308543,plant,reference,,,JNEIV2-ES345
36,PCHMG027129,SmallHydro,SUDESTE,2.5,-20.112500,-44.547778,plant,reference,,,ITAUN1-MG138
