code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
12,CUIABA G CC,SUDESTE,476.1,-15.596000,-56.097000,siga-fuzzy,siga-fuzzy,UTE.GN.MT.027003-2.1,Cuiabá - MT,
4,ST.CRUZ 34,SUDESTE,0.0,-22.914269,-43.765292,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.027243-4.1,Rio de Janeiro - RJ,
86,ST.CRUZ NOV2,SUDESTE,500.0,-22.914269,-43.765292,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.027243-4.1,Rio de Janeiro - RJ,
50,PIRAT.12 G,SUDESTE,0.0,-23.696288,-46.668591,siga-fuzzy,siga-fuzzy,UTE.PE.SP.002082-6.1,São Paulo - SP,
182,PALMEIRAS GO,SUDESTE,140.448,-16.810000,-49.910000,bus-proxy,bus:PALMEIUTE013,,,PALMEIUTE013
334,W. ARJONA,SUDESTE,177.12,-20.547222,-54.749722,siga-fuzzy,siga-fuzzy,UTE.GN.MS.027075-0.1,Campo Grande - MS,
171,NORTEFLU-1,SUDESTE,400.0,-22.759922,-47.154386,plant,siga-token,UTE.PE.SP.028924-8.1,Paulínia - SP,NFLUG-UTE013
172,NORTEFLU-2,SUDESTE,100.0,-22.759922,-47.154386,plant,siga-token,UTE.PE.SP.028924-8.1,Paulínia - SP,NFLUV-UTE013
173,NORTEFLU-3,SUDESTE,200.0,-22.759922,-47.154386,plant,siga-token,UTE.PE.SP.028924-8.1,Paulínia - SP,NFLUG-UTE013
174,NORTEFLU-4,SUDESTE,126.78,-22.759922,-47.154386,plant,siga-token,UTE.PE.SP.028924-8.1,Paulínia - SP,NFLUV-UTE013
229,ONCA PINTADA,SUDESTE,47.5,-20.383889,-51.425833,plant,siga-name,UTE.FL.MS.035085-0.1,Três Lagoas - MS,ONCAPIUTE013
1,ANGRA 1,SUDESTE,640.0,-23.010000,-44.460000,bus-proxy,bus:ANGRA1UNE013,,,ANGRA1UNE013
13,ANGRA 2,SUDESTE,1350.0,-23.010000,-44.460000,bus-proxy,bus:ANGRA2UNE013,,,ANGRA2UNE013
15,LINHARES,SUDESTE,204.0,-19.530000,-39.800000,bus-proxy,bus:LORM--UTE013,,,LORM--UTE013
257,LINHARES LRC,SUDESTE,204.0,-19.530000,-39.800000,bus-proxy,bus:LORM--UTE013,,,LORM--UTE013
247,LINHARES PC2,SUDESTE,36.0,-19.530000,-39.800000,bus-proxy,bus:LORM--UTE013,,,LORM--UTE013
251,POVOACAO 1 2,SUDESTE,74.96,-19.534731,-39.802150,plant,siga-token,UTE.GN.ES.056045-6.1,Linhares - ES,
49,VIANA,SUDESTE,174.6,-20.373960,-40.429282,plant,siga-name,UTE.PE.ES.029664-3.1,Viana - ES,
253,VIANA 1    2,SUDESTE,37.48,-20.379169,-40.436947,siga-fuzzy,siga-fuzzy,UTE.GN.ES.056350-1.1,Viana - ES,
153,DAIA       2,SUDESTE,0.0,-16.396393,-48.930359,plant,siga-token,UTE.PE.GO.028612-5.1,Anápolis - GO,DAIA--UTE013
256,CIDADE LIVRO,SUDESTE,80.0,-22.520000,-48.640000,bus-proxy,bus:UTELENUTE013,,,UTELENUTE013
146,STA VITORIA,SUDESTE,38.502,-18.780000,-50.230000,bus-proxy,bus:SVITORUTE013,,,SVITORUTE013
245,KARKEY 013 1,SUDESTE,258.64,-22.930485,-43.857014,plant,siga-token,UTE.GN.RJ.055914-8.1,Itaguaí - RJ,ZOESTE-RJ138
246,KARKEY 019 1,SUDESTE,115.92,-22.936126,-43.834043,plant,siga-token,UTE.GN.RJ.055917-2.1,Itaguaí - RJ,ZOESTE-RJ138
249,PORSUD I   1,SUDESTE,115.92,-20.940069,-43.802578,plant,siga-token,UTE.GN.RJ.055706-4.1,Itaguaí - RJ,ZOESTE-RJ138
250,PORSUD II  2,SUDESTE,78.32,-22.870000,-43.710000,bus-proxy,bus:ZOESTE-RJ138,,,ZOESTE-RJ138
211,BAIXADA FLU2,SUDESTE,530.0,-22.722230,-43.642957,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.030769-6.1,Seropédica - RJ,
97,CUBATAO,SUDESTE,186.624,-23.875531,-46.431825,siga-fuzzy,siga-fuzzy,UTE.GN.SP.028014-3.1,Cubatão - SP,
63,IBIRITE,SUDESTE,235.0,-19.990557,-44.098390,plant,siga-token,UTE.GN.MG.001096-0.1,Ibirité - MG,
54,JUIZ DE FOR2,SUDESTE,87.05,-21.685454,-43.447479,siga-fuzzy,siga-fuzzy,UTE.GN.MG.001276-9.1,Juiz de Fora - MG,
