code,name,uf,plant_class,match_by,capacity_MW,lat,lon,turbine_matched,aneel_farm_name,n_turbines,unit_power_MW,hub_height_m,rotor_diameter_m,total_height_m,aneel_total_MW,operational,heterogeneous_hub,source
949,EOLRJ028730,RJ,identifiable-EOL,uf+num,28.05,-21.565722,-41.073107,Y,Gargaú,17,1.6,70.0,82.0,111.0,28.05,Sim,False,SIGEL/Aerogeradores
948,EOLPR027908,PR,identifiable-EOL,uf+num,2.5,-26.578127,-51.700380,Y,de Palmas,5,0.5,44.0,40.3,64.2,2.5,Sim,False,SIGEL/Aerogeradores
1228,EOLRS028712,RS,identifiable-EOL,uf+num,70.0,-30.079059,-50.172056,Y,Elebrás Cidreira 1,31,2.3,98.0,82.0,139.0,70.0,Sim,False,SIGEL/Aerogeradores
1229,EOLRS028810,RS,identifiable-EOL,uf+num,50.0,-29.963092,-50.282572,Y,Osório,25,2.0,98.0,70.0,133.0,50.0,Sim,False,SIGEL/Aerogeradores
1230,EOLRS028811,RS,identifiable-EOL,uf+num,50.0,-29.932446,-50.298431,Y,Sangradouro,25,2.0,98.0,70.0,133.0,50.0,Sim,False,SIGEL/Aerogeradores
1231,EOLRS028855,RS,identifiable-EOL,uf+num,9.2,-30.457961,-50.390640,Y,Palmares,4,2.3,98.0,82.0,139.0,9.2,Sim,False,SIGEL/Aerogeradores
1232,EOLRS028864,RS,identifiable-EOL,uf+num,50.0,-29.991452,-50.287964,Y,Índios,25,2.0,98.0,70.0,133.0,50.0,Sim,False,SIGEL/Aerogeradores
1233,EOLRS030286,RS,identifiable-EOL,uf+num,27.6,-29.944538,-50.251597,Y,Osório 2,12,2.3,108.0,82.0,149.0,27.6,Sim,False,SIGEL/Aerogeradores
1234,EOLRS030330,RS,identifiable-EOL,uf+num,27.6,-29.959532,-50.311392,Y,Sangradouro 3,12,2.3,108.0,82.0,149.0,27.6,Sim,False,SIGEL/Aerogeradores
1235,EOLRS030334,RS,identifiable-EOL,uf+num,16.1,-30.452480,-50.422641,Y,Fazenda Rosário 3,7,2.3,98.0,82.0,139.0,16.1,Sim,False,SIGEL/Aerogeradores
1236,EOLRS030343,RS,identifiable-EOL,uf+num,9.2,-30.446884,-50.388826,Y,Fazenda Rosário,4,2.3,98.0,82.0,139.0,9.2,Sim,False,SIGEL/Aerogeradores
1237,EOLRS030348,RS,identifiable-EOL,uf+num,30.0,-30.840661,-55.725111,Y,Cerro Chato I,15,2.0,108.0,82.0,149.4,30.0,Sim,False,SIGEL/Aerogeradores
1238,EOLRS030349,RS,identifiable-EOL,uf+num,30.0,-30.848473,-55.685552,Y,Cerro Chato II,15,2.0,108.0,82.0,149.4,30.0,Sim,False,SIGEL/Aerogeradores
1239,EOLRS030350,RS,identifiable-EOL,uf+num,30.0,-30.801842,-55.714248,Y,Cerro Chato III,15,2.0,108.0,82.0,149.4,30.0,Sim,False,SIGEL/Aerogeradores
1240,EOLRS030381,RS,identifiable-EOL,uf+num,29.9,-29.912049,-50.282331,Y,Sangradouro 2,13,2.3,108.0,82.0,149.0,29.9,Sim,False,SIGEL/Aerogeradores
1241,EOLRS030449,RS,identifiable-EOL,uf+num,29.9,-29.981480,-50.254944,Y,Osório 3,13,2.3,108.0,82.0,149.0,29.9,Sim,False,SIGEL/Aerogeradores
1242,EOLRS030457,RS,identifiable-EOL,uf+num,30.0,-30.318801,-50.316096,Y,Atlântica I,10,3.0,120.0,116.0,178.0,30.0,Sim,False,SIGEL/Aerogeradores
1243,EOLRS030460,RS,identifiable-EOL,uf+num,11.2,-30.277877,-50.797770,Y,Pontal 2B,7,1.6,80.0,100.0,130.0,11.2,Sim,False,SIGEL/Aerogeradores
1244,EOLRS030461,RS,identifiable-EOL,uf+num,30.0,-30.291890,-50.335013,Y,Atlântica IV,10,3.0,120.0,116.0,178.0,30.0,Sim,False,SIGEL/Aerogeradores
1245,EOLRS030462,RS,identifiable-EOL,uf+num,30.0,-30.326528,-50.323379,Y,Atlântica II,10,3.0,120.0,116.0,178.0,30.0,Sim,False,SIGEL/Aerogeradores
1246,EOLRS030468,RS,identifiable-EOL,uf+num,22.0,-32.200784,-52.220878,Y,REB Cassino III,11,2.0,78.0,97.0,126.5,22.0,Sim,False,SIGEL/Aerogeradores
1247,EOLRS030469,RS,identifiable-EOL,uf+num,22.0,-32.218813,-52.201823,Y,REB Cassino I,11,2.0,78.0,97.0,126.5,22.0,Sim,False,SIGEL/Aerogeradores
1248,EOLRS030477,RS,identifiable-EOL,uf+num,20.0,-32.210319,-52.211447,Y,REB Cassino II,10,2.0,78.0,97.0,126.5,20.0,Sim,False,SIGEL/Aerogeradores
1249,EOLRS030478,RS,identifiable-EOL,uf+num,23.0,-30.439761,-50.405286,Y,Fazenda Rosário 2,10,2.3,98.0,82.0,139.0,23.0,Sim,False,SIGEL/Aerogeradores
1250,EOLRS030480,RS,identifiable-EOL,uf+num,30.0,-30.291516,-50.305012,Y,Atlântica V,10,3.0,120.0,116.0,178.0,30.0,Sim,False,SIGEL/Aerogeradores
1251,EOLRS030734,RS,identifiable-EOL,uf+num,29.9,-30.019412,-50.336185,Y,Índios 2,13,2.3,108.0,92.0,154.0,29.9,Sim,False,SIGEL/Aerogeradores
1252,EOLRS030740,RS,identifiable-EOL,uf+num,18.0,-33.543068,-53.276881,Y,Verace VI,9,2.0,78.0,97.0,126.5,18.0,Sim,False,SIGEL/Aerogeradores
1253,EOLRS030741,RS,identifiable-EOL,uf+num,30.0,-33.551707,-53.227290,Y,Verace IV,15,2.0,78.0,97.0,126.5,30.0,Sim,False,SIGEL/Aerogeradores
1254,EOLRS030742,RS,identifiable-EOL,uf+num,20.0,-33.508733,-53.283203,Y,Verace II,10,2.0,78.0,97.0,126.5,20.0,Sim,False,SIGEL/Aerogeradores
1255,EOLRS030745,RS,identifiable-EOL,uf+num,20.0,-33.501720,-53.264338,Y,Verace I,10,2.0,100.0,90.0,145.0,20.0,Sim,False,SIGEL/Aerogeradores
1256,EOLRS030746,RS,identifiable-EOL,uf+num,26.0,-33.522147,-53.279002,Y,Verace III,13,2.0,78.0,97.0,126.5,26.0,Sim,False,SIGEL/Aerogeradores
1257,EOLRS030747,RS,identifiable-EOL,uf+num,30.0,-33.566806,-53.245999,Y,Verace VII,15,2.0,78.0,97.0,126.5,30.0,Sim,False,SIGEL/Aerogeradores
1258,EOLRS030748,RS,identifiable-EOL,uf+num,30.0,-33.576712,-53.295291,Y,Verace IX,15,2.0,78.0,97.0,126.5,30.0,Sim,False,SIGEL/Aerogeradores
1259,EOLRS030749,RS,identifiable-EOL,uf+num,28.0,-33.591297,-53.271608,Y,Verace X,14,2.0,78.0,97.0,126.5,28.0,Sim,False,SIGEL/Aerogeradores
